product_id,region,period,demand
P1,South,2026-01-01,330
P1,South,2026-02-01,350
P1,South,2026-03-01,375
P1,South,2026-04-01,410
P1,West,2026-01-01,250
P1,West,2026-02-01,265
P1,West,2026-03-01,275
P1,West,2026-04-01,290
P1,North,2026-01-01,210
P1,North,2026-02-01,225
P1,North,2026-03-01,230
P1,North,2026-04-01,245
P2,South,2026-01-01,260
P2,South,2026-02-01,280
P2,South,2026-03-01,310
P2,South,2026-04-01,340
P2,West,2026-01-01,360
P2,West,2026-02-01,370
P2,West,2026-03-01,390
P2,West,2026-04-01,415
P2,North,2026-01-01,230
P2,North,2026-02-01,240
P2,North,2026-03-01,250
P2,North,2026-04-01,265
P3,South,2026-01-01,190
P3,South,2026-02-01,205
P3,South,2026-03-01,225
P3,South,2026-04-01,245
P3,West,2026-01-01,170
P3,West,2026-02-01,185
P3,West,2026-03-01,200
P3,West,2026-04-01,220
P3,North,2026-01-01,250
P3,North,2026-02-01,260
P3,North,2026-03-01,275
P3,North,2026-04-01,295
